Title,Date
"Crime Patrol: City Crimes: City Crimes: Chehra","11/7/25"
"Idli Kadai","11/7/25"
"The Big Bang Theory: Season 6: The 43 Peculiarity","11/7/25"
"The Big Bang Theory: Season 6: The Habitation Configuration","11/7/25"
"365 Days","11/6/25"
"Crime Patrol: City Crimes: City Crimes: Tarkeeb","11/6/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 06-07-2025 Kya Zindagi Degi Second Chance?","11/6/25"
"The Big Bang Theory: Season 6: The Extract Obliteration","11/6/25"
"Fast Five","11/6/25"
"Inspector Zende","11/6/25"
"Crime Patrol: City Crimes: City Crimes: Family Suicide","11/6/25"
"Crime Patrol: City Crimes: City Crimes: Naseeb","11/6/25"
"Crime Patrol: City Crimes: City Crimes: Contract Killer","11/6/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 12-04-2025 Aakhri Call","11/6/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 05-07-2025 Ria - Sagai Se Pehle Qatl","11/6/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 29-06-2025 Kaan Kaat Killer - Part 2","11/6/25"
"The Big Bang Theory: Season 6: The Holographic Excitation","11/5/25"
"The Big Bang Theory: Season 6: The Re-Entry Minimization","11/5/25"
"The Big Bang Theory: Season 6: The Higgs Boson Observation","11/5/25"
"Dream Girl 2","11/5/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 28-06-2025 Kaan Kaat Killer - Part 1","11/5/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 22-06-2025 Shourya Dhiraj","11/5/25"
"The Big Bang Theory: Season 6: The Decoupling Fluctuation","11/5/25"
"The Big Bang Theory: Season 6: The Date Night Variable","11/5/25"
"Greater Kalesh","11/5/25"
"The Big Bang Theory: Season 5: The Countdown Reflection","11/5/25"
"The Big Bang Theory: Season 5: The Launch Acceleration","11/5/25"
"The Big Bang Theory: Season 5: The Stag Convergence","11/4/25"
"The Big Bang Theory: Season 5: The Hawking Excitation","11/4/25"
"Raw: 2025: November 3, 2025","11/4/25"
"C.I.D: Episodes (76-104): 02-11-2025 Buried In Cement","11/4/25"
"C.I.D: Episodes (76-104): 01-11-2025 Death Of A Fortune Teller","11/4/25"
"The Big Bang Theory: Season 5: The Transporter Malfunction","11/4/25"
"The Big Bang Theory: Season 5: The Weekend Vortex","11/4/25"
"Son of Sardaar 2","11/4/25"
"C.I.D: Episodes (1-25): 21-12-2024 Sniper Rifle Murderer","11/4/25"
"The Big Bang Theory: Season 5: The Werewolf Transformation","11/4/25"
"Ufff Yeh Siyapaa","11/4/25"
"Kurukshetra: Season 1: Sanjay","11/3/25"
"The Big Bang Theory: Season 5: The Rothman Disintegration","11/3/25"
"They Call Him OG","11/2/25"
"The Big Bang Theory: Season 5: The Vacation Solution","11/2/25"
"Vash Level 2","11/2/25"
"The Amazing Spider-Man","11/2/25"
"Dragon","11/2/25"
"Furious 7","11/2/25"
"Fast & Furious 6","11/2/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 21-06-2025 Preeti Sunil","11/2/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 15-06-2025 Farheen Naseem","11/1/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 14-06-2025 Sarthak","11/1/25"
"Taj Mahal 1989: Season 1: Episode 7","11/1/25"
"Taj Mahal 1989: Season 1: Episode 6","11/1/25"
"Taj Mahal 1989: Season 1: Episode 5","11/1/25"
"Taj Mahal 1989: Season 1: Episode 4","11/1/25"
"Taj Mahal 1989: Season 1: Episode 3","11/1/25"
"Taj Mahal 1989: Season 1: Episode 2","11/1/25"
"Taj Mahal 1989: Season 1: Episode 1","11/1/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 08-06-2025 Kundan Mayuri Part - 2","11/1/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 07-06-2025 Kundan Mayuri Part - 1","11/1/25"
"Vadh","11/1/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 01-06-2025 Sujata","11/1/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 31-05-2025 Shagun","11/1/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 25-05-2025 Roshni Behnaaz - Part 2","11/1/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 24-05-2025 Roshni Behnaaz - Part 1","10/31/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 18-05-2025 Salma","10/31/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 17-05-2025 Shruti","10/31/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 11-05-2025 Charu","10/31/25"
"Stranger Things: Stranger Things 4: Chapter Nine: The Piggyback","10/31/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 10-05-2025 Ratna","10/31/25"
"Cobra Kai: Season 6: Into the Fire","10/31/25"
"Cobra Kai: Season 6: Eunjangdo","10/31/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 04-05-2025 Slimming Pills, Bloody Kills","10/31/25"
"Cobra Kai: Season 6: Blood In Blood Out","10/31/25"
"Cobra Kai: Season 6: Snakes on a Plane","10/31/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 03-05-2025 Mitti Mein Dafan Sach","10/31/25"
"Wednesday: Season 2: The Devil You Woe","10/30/25"
"Cobra Kai: Season 6: Dog in the Fight","10/30/25"
"Cobra Kai: Season 6: Benvinguts a Barcelona","10/30/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 27-04-2025 Sard Murder","10/30/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 26-04-2025 Garba Mein Maut","10/30/25"
"Cobra Kai: Season 6: Best of the Best","10/30/25"
"Cobra Kai: Season 6: Underdogs","10/30/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 20-04-2025 48 Ghante, Tukdo Mein Sach","10/30/25"
"Cobra Kai: Season 6: Sleeper","10/30/25"
"Cobra Kai: Season 6: The Prize","10/30/25"
"Cobra Kai: Season 6: Peacetime in the Valley","10/30/25"
"Cobra Kai: Season 5: Head of the Snake","10/30/25"
"Cobra Kai: Season 5: Survivors","10/30/25"
"Cobra Kai: Season 5: Taikai","10/30/25"
"Cobra Kai: Season 5: Bad Eggs","10/30/25"
"Cobra Kai: Season 5: Ouroboros","10/30/25"
"Cobra Kai: Season 5: Extreme Measures","10/30/25"
"Cobra Kai: Season 5: Downward Spiral","10/30/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 19-04-2025 Ek Kaatil, 15000 DNA","10/30/25"
"Crime Patrol: 26 Jurm, 26 Cases: Season 1: 13-04-2025 Hotel Blood Stone","10/30/25"
"Cobra Kai: Season 5: Playing With Fire","10/30/25"
"Cobra Kai: Season 5: Molé","10/30/25"
"Cobra Kai: Season 5: Long, Long Way From Home","10/30/25"
"Cobra Kai: Season 4: The Rise","10/30/25"
"Cobra Kai: Season 4: The Fall","10/30/25"
"Cobra Kai: Season 4: Party Time","10/30/25"
"Cobra Kai: Season 4: Minefields","10/30/25"
"Cobra Kai: Season 4: Kicks Get Chicks","10/30/25"
"Crime Patrol: City Crimes: City Crimes: Rangmanch","10/30/25"
"Cobra Kai: Season 4: Match Point","10/30/25"
"Cobra Kai: Season 4: Bicephaly","10/30/25"
"Cobra Kai: Season 4: Then Learn Fly","10/30/25"
"Crime Patrol: City Crimes: City Crimes: Special Child","10/30/25"
"Cobra Kai: Season 4: First Learn Stand","10/30/25"
"Cobra Kai: Season 4: Let's Begin","10/30/25"
"Cobra Kai: Season 3: December 19","10/30/25"
"Cobra Kai: Season 3: Feel the Night","10/30/25"
"Cobra Kai: Season 3: The Good, The Bad, and The Badass","10/30/25"
