Title,Date
"The Ba***ds of Bollywood: Meet The Ba***ds","9/19/25"
"Zero Day: Limited Series: Episode 1","7/28/25"
"Aap Jaisa Koi","7/20/25"
"37 Seconds","7/20/25"
"Raid 2","7/20/25"
"You: Season 3: What Is Love?","6/26/25"
"You: Season 3: Red Flag","6/25/25"
"You: Season 3: Swing and a Miss","6/22/25"
"You: Season 3: We're All Mad Here","6/21/25"
"You: Season 3: W.O.M.B.","6/21/25"
"You: Season 3: Into the Woods","6/20/25"
"You: Season 3: Hands Across Madre Linda","6/20/25"
"Don't Breathe 2","6/20/25"
"Don't Breathe","6/20/25"
"Sacred Games: Season 2: Apasmara","6/19/25"
"Sacred Games: Season 2: Siduri","6/19/25"
"Sacred Games: Season 2: Matsya","6/19/25"
"You: Season 3: Missing White Woman Syndrome","6/19/25"
"Laila Majnu","6/19/25"
"You: Season 3: So I Married an Axe Murderer","6/19/25"
"Sacred Games: Season 1: Yayati","6/18/25"
"Sacred Games: Season 1: Rudra","6/18/25"
"Sacred Games: Season 1: Pretakalpa","6/18/25"
"Sacred Games: Season 1: Sarama","6/18/25"
"You: Season 3: And They Lived Happily Ever After","6/18/25"
"You: Season 2: Love, Actually","6/18/25"
"Sikandar","6/18/25"
"The Great Indian Kapil Show: Season 2: Varun In Action","6/18/25"
"Retro","6/18/25"
"Sacred Games: Season 1: Brahmahatya","6/17/25"
"Sacred Games: Season 1: Ashwathama ","6/17/25"
"HIT: The Third Case","6/17/25"
"Titan: The OceanGate Submersible Disaster","6/16/25"
"Pyaar Ka Punchnama","6/13/25"
"Crew","6/13/25"
"You: Season 2: The Good, the Bad, & the Hendy","6/13/25"
"Rana Naidu: Season 1: Nitya","6/12/25"
"Lust Stories 2","6/12/25"
"Lust Stories","6/12/25"
"Jaat","6/12/25"
"Veronica","6/12/25"
"Rana Naidu: Season 1: Bheje ku light, gote ku tight","6/11/25"
"Rana Naidu: Season 1: Kitna gurda, kitna goo","6/11/25"
"Rana Naidu: Season 1: Baap bete ke rishte","6/11/25"
"Rana Naidu: Season 1: Koi mar gaya kya?","6/10/25"
"The Royals: Lights, Camera, AUCTION!","6/10/25"
"The Royals: The Maharaja who Loved.","6/10/25"
"Rana Naidu: Season 1: Teen karod","6/9/25"
"Rana Naidu: Season 1: He's back","6/9/25"
"American Manhunt: Osama bin Laden: Gloves Are Off","6/7/25"
"American Manhunt: Osama bin Laden: A New Kind of Enemy","6/7/25"
"The Royals: The Maharaja and the CEO.","6/7/25"
"The Royals: The Ex-Factor.","6/7/25"
"The Royals: A Ball to Remember.","6/7/25"
"The Royals: A Swing and a Ms.","6/5/25"
"The Royals: A Pitch Made in Heaven.","6/5/25"
"The Royals: A Royal Misunderstanding.","6/5/25"
"Chhaava","6/2/25"
"You: Season 2: What Are Friends For?","5/8/25"
"Lyle, Lyle, Crocodile","5/8/25"
"Wednesday: Season 1: Wednesday's Child Is Full of Woe","5/8/25"
"You: Season 2: Just the Tip","5/8/25"
"You: Season 2: A Fresh Start","5/8/25"
"You: Season 1: Bluebeard's Castle","5/7/25"
"You: Season 1: Candace","5/7/25"
"You: Season 1: You Got Me, Babe","5/6/25"
"You: Season 1: Everythingship","5/5/25"
"You: Season 1: Amour Fou","5/5/25"
"You: Season 1: Living with the Enemy","5/4/25"
"You: Season 1: The Captain","5/4/25"
"Bullet Train Explosion","5/4/25"
"Mad Square","5/4/25"
"You: Season 1: Maybe","5/2/25"
"You: Season 1: The Last Nice Guy in New York","5/2/25"
"You: Season 1: Pilot","5/1/25"
"The Four Seasons: Lake House","5/1/25"
"Little Things: Season 4: Air Quality Index","4/28/25"
"Little Things: Season 4: Fort Kavya","4/28/25"
"Little Things: Season 4: Circles","4/28/25"
"Little Things: Season 1: Episode 1","4/28/25"
"Jewel Thief - The Heist Begins","4/27/25"
"Court: State vs A Nobody","4/22/25"
"iHostage","4/21/25"
"WWE WrestleMania: 2025: WrestleMania 41 Sunday","4/21/25"
"Black Mirror: Season 6: Joan Is Awful","4/20/25"
"Black Mirror: Season 7: USS Callister: Into Infinity","4/19/25"
"Black Mirror: Season 7: Hotel Reverie","4/19/25"
"Black Mirror: Season 7: Plaything","4/19/25"
"Black Mirror: Season 7: Eulogy","4/17/25"
"Black Mirror: Season 7: Bête Noire","4/15/25"
"Black Mirror: Season 7: Common People","4/15/25"
"Stranger Things: Chapter One: The Vanishing of Will Byers","4/15/25"
"Crime Patrol: 26 Jurm, 26 Cases: 12-04-2025 Aakhri Call","4/15/25"
"Crime Patrol: 26 Jurm, 26 Cases: 13-04-2025 Hotel Blood Stone","4/15/25"
"Geek Girl: Season 1: Chapter 1","4/15/25"
"Perusu","4/12/25"
"Once Upon a Crime","4/11/25"
"Deva","4/11/25"
"Karma: Limited Series: The Man With Loan Shark Debts","4/9/25"
"A Boy Called Christmas","4/9/25"
"Shadow and Bone: Season 1: A Searing Burst of Light","4/9/25"
"The Worst Witch: Season 1: Selection Day","4/9/25"
"Mad","4/8/25"
"TEST","4/7/25"
"Dragon","4/6/25"
"Devil May Cry: Our Lady of Sorrows","4/5/25"
"Devil May Cry: Inferno","4/5/25"
"C.I.D: Episodes (26-50): 30-03-2025 Nakabposh","4/4/25"
"The Lady's Companion: Lesson 8: Make Your Lady Happy","4/4/25"
"The Lady's Companion: Lesson 7: Maintain Proper Decorum","4/4/25"
"Kraven the Hunter","4/4/25"
"The Lady's Companion: Lesson 6: Your Desires Come Second","4/3/25"
"The Lady's Companion: Lesson 5: Stay True to Your Lady","4/3/25"
"The Lady's Companion: Lesson 4: Ward Off Temptation","4/3/25"
"The Lady's Companion: Lesson 3: The Past Is in the Past","4/2/25"
"The Residence: The Fall of the House of Usher","4/2/25"
"The Lady's Companion: Lesson 2: Do Not Tell Lies","4/2/25"
"The Lady's Companion: Lesson 1: Never Fall in Love","4/2/25"
"The Life List","4/1/25"
"Tu Jhoothi Main Makkaar","3/28/25"
"Caught: We Live in Darkness","3/28/25"
"Officer on Duty","3/28/25"
"Sliver","3/27/25"
"Fifty Shades of Grey","3/27/25"
"Azaad","3/26/25"
"The School for Good and Evil","3/26/25"
"Shrek","3/26/25"
"Secret Magic Control Agency","3/26/25"
"That Christmas","3/26/25"
"Spellbound","3/26/25"
"Mowgli: Legend of the Jungle","3/26/25"
"365 Days: This Day","3/25/25"
"Emergency","3/24/25"
"C.I.D: Episodes (26-50): 16-03-2025 Room No 804","3/16/25"
"C.I.D: Episodes (1-25): 15-03-2025 Swimmers","3/15/25"
"C.I.D: Episodes (1-25): 09-03-2025 Curse Of The Burning Man","3/15/25"
